,age,job,marital,education,balance,housing,loan,duration,campaign,pdays,poutcome,y
34,49.0,technician,married,tertiary,1235.0,no,no,0.41019857348464245,3,-1,unknown,no
38,33.0,management,married,secondary,3935.0,yes,no,2.067138584964967,1,342,failure,yes
54,41.61746987951807,blue-collar,married,secondary,2231.0,yes,no,0.07961686803114702,3,-1,unknown,no
65,51.0,blue-collar,divorced,secondary,23.0,yes,no,-0.47672795334180873,1,170,failure,no
89,41.61746987951807,blue-collar,married,secondary,1831.0,yes,no,-0.19855554265533085,2,-1,unknown,no
90,39.0,blue-collar,married,primary,111.0,no,no,-0.20661851108102586,2,-1,unknown,no
94,57.0,blue-collar,married,secondary,1493.0,no,no,-0.0856739846956007,5,-1,unknown,no
101,38.0,management,single,tertiary,493.0,yes,no,1.212463931841296,1,367,failure,yes
103,57.0,services,single,primary,3777.0,yes,no,-0.7549003640282866,2,-1,unknown,no
111,58.0,management,married,tertiary,1517.0,yes,no,-0.9887264483734419,5,-1,unknown,no
120,31.0,admin.,divorced,secondary,189.0,yes,no,1.3535658792909586,1,-1,unknown,yes
134,27.0,technician,single,secondary,769.0,yes,no,0.26103365760928476,2,-1,unknown,no
145,41.61746987951807,management,married,tertiary,16.0,no,yes,1.3535658792909586,2,-1,unknown,yes
162,41.0,admin.,single,secondary,-256.0,no,yes,-0.8758448904137117,3,-1,unknown,no
168,48.0,technician,married,tertiary,31.0,no,no,0.05028386974865333,1,-1,unknown,no
188,36.0,technician,married,secondary,23.0,yes,no,-0.4041612375105536,2,347,failure,no
193,36.0,services,married,secondary,1981.0,no,no,-0.8234355956466942,2,-1,unknown,no
197,38.0,services,married,secondary,1.0,no,yes,-0.4041612375105536,2,-1,unknown,no
205,45.0,technician,married,tertiary,1136.7502401536983,yes,no,-0.4565705322775712,2,-1,unknown,no
218,49.0,blue-collar,married,primary,35.0,yes,yes,2.345310995651445,10,-1,unknown,yes
251,32.0,management,married,tertiary,2349.0,no,no,-0.47672795334180873,5,-1,unknown,no
259,29.0,blue-collar,married,secondary,482.0,no,yes,3.4055913436303387,3,-1,unknown,yes
276,41.61746987951807,housemaid,married,tertiary,11219.0,no,no,1.8010606269170317,2,79,failure,yes
294,47.0,management,married,tertiary,3681.0,no,no,-0.6097669323657764,2,-1,unknown,no
317,50.0,admin.,married,primary,276.0,no,yes,1.5672345425718766,6,-1,unknown,yes
337,33.0,management,single,tertiary,141.0,yes,no,-0.9846949641605944,1,254,failure,no
344,37.0,management,single,unknown,54.0,yes,no,1.220526900266991,1,-1,unknown,yes
365,23.0,student,single,secondary,78.0,no,no,0.059459446966909496,1,-1,unknown,no
373,51.0,technician,married,secondary,-379.0,yes,no,0.035270541689824464,1,-1,unknown,no
381,39.0,blue-collar,married,primary,375.0,yes,no,-0.7065225534741165,1,-1,unknown,no
382,59.0,retired,married,tertiary,9676.0,no,no,-0.07357953205705818,2,-1,unknown,no
383,37.0,services,married,secondary,1328.0,yes,no,0.05028386974865333,2,341,failure,no
394,33.0,blue-collar,married,secondary,43.0,yes,no,0.32150592080199736,2,358,failure,no
411,41.61746987951807,blue-collar,single,secondary,186.0,no,no,0.3618207629304724,1,-1,unknown,no
416,31.0,services,single,secondary,27.0,no,no,0.2690966260349798,2,-1,unknown,no
419,46.0,technician,married,secondary,1322.0,yes,yes,1.0552360475402434,1,-1,unknown,yes
446,31.0,technician,married,secondary,2363.0,yes,no,-0.02117023729004061,1,-1,unknown,no
492,41.61746987951807,admin.,married,secondary,1796.0,no,no,0.17234100492663965,1,91,success,no
494,44.0,technician,single,secondary,244.0,yes,no,5.977678271427047,4,-1,unknown,yes
502,31.0,management,married,tertiary,13.0,no,no,-0.5734835744501489,5,-1,unknown,no
